model,case_id,slice_idx,dice_liver,dice_tumor,dice_avg,hd_full_liver,hd_full_tumor,hd95_liver,hd95_tumor,hd95_avg
Dataset002_LiTSMaisiCombined,volume-54,77,0.9713,0.5682,0.7698,21.0687,5.0681,4.4596,5.0,4.7298
Dataset002_LiTSMaisiCombined,volume-57,326,0.9583,0.814,0.8861,21.4584,75.2008,3.8922,2.5,3.1961
Dataset002_LiTSMaisiCombined,volume-6,353,0.9703,0.868,0.9192,57.9229,6.997,3.5793,2.4693,3.0243
Dataset002_LiTSMaisiCombined,volume-62,114,0.9774,0.6191,0.7983,28.6192,6.7757,2.3239,3.2641,2.794
Dataset002_LiTSMaisiCombined,volume-64,189,0.972,0.9598,0.9659,29.513,4.3973,3.4432,2.1987,2.8209
Dataset002_LiTSMaisiCombined,volume-69,202,0.9655,0.8614,0.9135,22.5799,2.7182,3.7695,2.0,2.8848
Dataset002_LiTSMaisiCombined,volume-70,286,0.9585,0.8938,0.9262,18.6651,85.5365,3.75,2.6977,3.2239
Dataset002_LiTSMaisiCombined,volume-71,75,0.951,0.7611,0.856,22.9509,82.9085,5.0309,15.0,10.0154
Dataset002_LiTSMaisiCombined,volume-75,70,0.9662,0.8382,0.9022,42.6301,31.0733,5.0,22.2304,13.6152
Dataset002_LiTSMaisiCombined,volume-77,77,0.9566,0.7427,0.8496,25.0,63.0339,5.0,5.0,5.0
Dataset002_LiTSMaisiCombined,volume-83,572,0.971,0.0971,0.5341,27.7895,3.0201,2.766,2.6272,2.6966
Dataset002_LiTSMaisiCombined,volume-86,496,0.9794,0.0448,0.5121,19.0574,48.465,1.9569,46.2631,24.11
Dataset002_LiTSMaisiCombined,volume-89,383,0.9663,0.0,0.4832,71.7602,1.8446742974197924e+19,4.0386,1.8446742974197924e+19,9.223371487098962e+18
Dataset002_LiTSMaisiCombined,volume-91,375,0.9854,0.0,0.4927,10.1375,1.8446742974197924e+19,1.4534,1.8446742974197924e+19,9.223371487098962e+18
Dataset002_LiTSMaisiCombined,volume-94,577,0.9649,0.2407,0.6028,137.1003,154.9,4.6863,132.8976,68.792
Dataset002_LiTSMaisiCombined,volume-97,574,0.8656,0.8753,0.8705,108.8724,145.3302,57.0057,3.6133,30.3095
